State,tx_district,amt_district,user_district,tx_state,amt_state,user_state,tx_diff,amt_diff,user_diff
Andaman & Nicobar Islands,1223565,3641817860.7512126,408396,1223565,3641817860.751212,408396,0,4.76837158203125e-07,0
Andhra Pradesh,1781091169,3860292139028.1177,158007957,1781091169,3187847468851.5107,158007957,0,672444670176.6069,0
Arunachal Pradesh,8043799,22251830956.90666,1862214,8043799,22251830956.906673,1862214,0,-1.52587890625e-05,0
Assam,123577981,281408712657.4359,26860751,123577981,281408712657.43585,26860751,0,6.103515625e-05,0
Bihar,713643889,1639578926751.5112,115284760,713643889,1639578926751.5103,115284760,0,0.0009765625,0
Chandigarh,25516542,53712084630.81806,3801466,25516542,53712084630.81802,3801466,0,3.814697265625e-05,0
Chhattisgarh,241908549,415635319208.1505,37448388,241908549,415635319208.1512,37448388,0,-0.00067138671875,0
Dadra & Nagar Haveli and Daman & Diu,12462185,18658784568.339634,2701112,12462185,18658784568.339622,2701112,0,1.1444091796875e-05,0
Delhi,1011031124,1649942211116.079,95374654,1011031124,1649942211116.0786,95374654,0,0.00048828125,0
Goa,24481604,44271871113.08531,4755320,24481604,44271871113.08532,4755320,0,-7.62939453125e-06,0
Gujarat,612992823,1105328681946.7708,126380032,612992823,1105328681946.77,126380032,0,0.000732421875,0
Haryana,567751410,1059831565199.8185,85564119,567751410,1059831565199.8192,85564119,0,-0.000732421875,0
Himachal Pradesh,52987445,97865455329.55713,13373980,52987445,97865455329.55698,13373980,0,0.000152587890625,0
Jammu & Kashmir,45053328,109495435910.39009,9756438,45053328,109495435910.39012,9756438,0,-3.0517578125e-05,0
Jharkhand,275270987,490570131446.51605,44768682,275270987,490570131446.5163,44768682,0,-0.000244140625,0
Karnataka,2981044533,4361395878908.1304,203098564,2981044533,4361395878908.125,203098564,0,0.00537109375,0
Kerala,223637876,372959870819.6859,51267042,223637876,372959870819.68585,51267042,0,6.103515625e-05,0
Ladakh,1880109,6606978450.495935,579825,1880109,6606978450.495937,579825,0,-1.9073486328125e-06,0
Lakshadweep,71610,192158684.6737253,34223,71610,192158684.67372528,34223,0,2.9802322387695312e-08,0
Madhya Pradesh,1100253728,1915100967832.54,125339823,1100253728,1915100967832.5479,125339823,0,-0.0078125,0
Maharashtra,2833670154,4290995253332.026,315783658,2833670154,4290995253332.024,315783658,0,0.001953125,0
Meghalaya,5648913,12541621895.083904,1436472,5648913,12541621895.083885,1436472,0,1.9073486328125e-05,0
Mizoram,2162776,6317141434.545226,605612,2162776,6317141434.545231,605612,0,-4.76837158203125e-06,0
Nagaland,5864977,16387572679.276415,1440387,5864977,16387572679.276419,1440387,0,-3.814697265625e-06,0
Odisha,740479146,1220614556987.2546,80404103,740479146,1220614556987.253,80404103,0,0.001708984375,0
Puducherry,17292386,32097692614.549084,2785162,17292386,32097692614.549103,2785162,0,-1.9073486328125e-05,0
Punjab,181336904,394177285102.1969,45811761,181336904,394177285102.1967,45811761,0,0.00018310546875,0
Rajasthan,1382918930,2625584351280.9727,149770064,1382918930,2625584351280.9785,149770064,0,-0.005859375,0
Sikkim,6483948,14155544437.923397,1279199,6483948,14155544437.923409,1279199,0,-1.1444091796875e-05,0
Tamil Nadu,800399873,1481448044165.0647,132437426,800399873,1481448044165.0588,132437426,0,0.005859375,0
Telangana,2347430243,4574245879737.878,149224214,2347430243,4574245879737.879,149224214,0,-0.0009765625,0
Tripura,12018152,20970514761.53174,3661575,12018152,20970514761.531715,3661575,0,2.288818359375e-05,0
Uttar Pradesh,1314714390,2399757104087.3843,246200404,1314714390,2399757104087.3774,246200404,0,0.0068359375,0
Uttarakhand,124011162,215071471849.1997,23792747,124011162,215071471849.1996,23792747,0,0.0001220703125,0
West Bengal,942286041,1452706824854.8691,144242183,942286041,1452706824854.8677,144242183,0,0.00146484375,0
