State,Transactions,Amount (INR)
Karnataka,2981044533,4361395878908.125
Maharashtra,2833670154,4290995253332.024
Telangana,2347430243,4574245879737.879
Andhra Pradesh,1781091169,3187847468851.5107
Rajasthan,1382918930,2625584351280.9785
Uttar Pradesh,1314714390,2399757104087.3774
Madhya Pradesh,1100253728,1915100967832.5479
Delhi,1011031124,1649942211116.0786
West Bengal,942286041,1452706824854.8677
Tamil Nadu,800399873,1481448044165.0588
Odisha,740479146,1220614556987.253
Bihar,713643889,1639578926751.5103
Gujarat,612992823,1105328681946.77
Haryana,567751410,1059831565199.8192
Jharkhand,275270987,490570131446.5163
Chhattisgarh,241908549,415635319208.1512
Kerala,223637876,372959870819.68585
Punjab,181336904,394177285102.1967
Uttarakhand,124011162,215071471849.1996
Assam,123577981,281408712657.43585
Himachal Pradesh,52987445,97865455329.55698
Jammu & Kashmir,45053328,109495435910.39012
Chandigarh,25516542,53712084630.81802
Goa,24481604,44271871113.08532
Puducherry,17292386,32097692614.549103
Dadra & Nagar Haveli and Daman & Diu,12462185,18658784568.339622
Manipur,12318043,35793251136.46254
Tripura,12018152,20970514761.531715
Arunachal Pradesh,8043799,22251830956.906673
Sikkim,6483948,14155544437.923409
Nagaland,5864977,16387572679.276419
Meghalaya,5648913,12541621895.083885
Mizoram,2162776,6317141434.545231
Ladakh,1880109,6606978450.495937
Andaman & Nicobar Islands,1223565,3641817860.751212
Lakshadweep,71610,192158684.67372528
