State,RegisteredUsers,Population,Users_to_Pop_Ratio
Andaman & Nicobar Islands,408396,380581,1.0730856243480362
Andhra Pradesh,158007957,49378776,3.199916437782905
Arunachal Pradesh,1862214,1606047,1.1595015587962245
Assam,26860751,34461385,0.7794449062334552
Bihar,115284760,103817951,1.11045112034623
Chandigarh,3801466,1055450,3.6017490170069637
Chhattisgarh,37448388,25867958,1.4476746869621484
Dadra & Nagar Haveli and Daman & Diu,2701112,586956,4.60189860909506
Delhi,95374654,16787941,5.681140647325363
Goa,4755320,1457723,3.262156116079667
Gujarat,126380032,65930328,1.9168724900018699
Haryana,85564119,25855357,3.309338138320813
Himachal Pradesh,13373980,6856509,1.9505523875196547
Jammu & Kashmir,9756438,12258093,0.7959180926429584
Jharkhand,44768682,32966238,1.3580161012002643
Karnataka,203098564,60965960,3.3313436547214215
Kerala,51267042,33387677,1.535507906105597
Ladakh,579825,276875,2.094176072234763
Lakshadweep,34223,64473,0.5308113473857273
Madhya Pradesh,125339823,73943914,1.695066114568942
Maharashtra,315783658,112378989,2.809988422301966
Manipur,2317734,3187465,0.7271402195788816
Meghalaya,1436472,3364915,0.42689696470787525
Mizoram,605612,1091014,0.5550909520867743
Nagaland,1440387,2335175,0.616821865598938
Odisha,80404103,41947358,1.9167858676582206
Puducherry,2785162,1247953,2.2317843700844504
Punjab,45811761,30510873,1.5014896820553119
Rajasthan,149770064,68620629,2.1825807513364532
Sikkim,1279199,607688,2.105025934361054
Tamil Nadu,132437426,76018492,1.7421738121298171
Telangana,149224214,36366570,4.103334848461101
Tripura,3661575,3671032,0.997423885163627
Uttar Pradesh,246200404,205867440,1.19591715911948
Uttarakhand,23792747,10116752,2.3518167688602034
West Bengal,144242183,92828987,1.5538485085483051
